                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.60572,                0.46205,                 1.1161,                0.98902,                0.97942,                0.99108,                0.93023,                0.45458,                0.24939,                0.92273,               0.004753,               0.004753,               0.004753
                     56,                0.60391,                0.45684,                 1.1124,                0.98742,                0.98113,                0.99123,                0.93064,                0.45274,                0.24864,                0.92085,               0.004654,               0.004654,               0.004654
                     57,                0.60224,                0.45798,                 1.1133,                0.98715,                0.98154,                0.99121,                0.93133,                0.45158,                0.24701,                0.91963,               0.004555,               0.004555,               0.004555
                     58,                0.60002,                0.45146,                 1.1117,                0.98783,                0.98159,                0.99126,                0.93169,                0.44999,                0.24504,                0.91808,               0.004456,               0.004456,               0.004456
                     59,                0.59608,                0.44901,                  1.107,                0.98925,                0.98048,                0.99136,                0.93208,                0.44817,                0.24327,                0.91614,               0.004357,               0.004357,               0.004357
                     60,                0.59414,                0.44927,                 1.1091,                0.98898,                0.98068,                0.99146,                0.93308,                0.44638,                0.24153,                0.91427,               0.004258,               0.004258,               0.004258
                     61,                0.59105,                0.44581,                 1.1061,                0.98743,                0.98226,                0.99152,                0.93379,                0.44441,                0.24118,                0.91232,               0.004159,               0.004159,               0.004159
                     62,                0.58944,                0.44237,                 1.1039,                0.98749,                0.98364,                0.99171,                0.93464,                0.44219,                0.24028,                0.91022,                0.00406,                0.00406,                0.00406
                     63,                0.58633,                0.43979,                 1.1037,                0.98726,                0.98344,                0.99175,                0.93544,                0.43994,                0.23872,                0.90847,               0.003961,               0.003961,               0.003961
                     64,                0.58224,                0.43539,                 1.0982,                0.98779,                0.98341,                0.99179,                0.93611,                0.43816,                0.23774,                0.90667,               0.003862,               0.003862,               0.003862
                     65,                0.58113,                0.43322,                 1.0964,                 0.9871,                0.98369,                 0.9919,                0.93652,                0.43677,                0.23745,                0.90513,               0.003763,               0.003763,               0.003763
                     66,                0.57715,                0.42854,                 1.0959,                0.98744,                0.98461,                0.99209,                0.93712,                0.43468,                0.23646,                0.90324,               0.003664,               0.003664,               0.003664
                     67,                0.57553,                0.42721,                 1.0958,                0.98859,                0.98391,                0.99215,                0.93777,                 0.4326,                0.23585,                0.90177,               0.003565,               0.003565,               0.003565
                     68,                0.57182,                0.42283,                  1.093,                0.98911,                0.98413,                0.99214,                 0.9388,                0.43121,                0.23484,                0.90078,               0.003466,               0.003466,               0.003466
                     69,                0.56993,                0.42182,                 1.0918,                0.98994,                0.98425,                0.99219,                0.93915,                0.42917,                0.23422,                0.89911,               0.003367,               0.003367,               0.003367
                     70,                0.56435,                0.41671,                 1.0865,                0.99038,                0.98374,                0.99226,                0.93986,                0.42703,                 0.2332,                0.89721,               0.003268,               0.003268,               0.003268
                     71,                0.56235,                0.41477,                 1.0855,                 0.9898,                0.98534,                0.99226,                0.94043,                0.42527,                0.23243,                0.89543,               0.003169,               0.003169,               0.003169
                     72,                0.55791,                0.40908,                 1.0814,                0.98934,                0.98621,                0.99238,                0.94101,                0.42343,                0.23146,                0.89355,                0.00307,                0.00307,                0.00307
                     73,                0.55841,                0.40724,                 1.0821,                0.98947,                0.98623,                0.99244,                0.94138,                0.42162,                0.23073,                0.89162,               0.002971,               0.002971,               0.002971
                     74,                0.55464,                0.40323,                 1.0818,                0.98928,                0.98712,                0.99257,                0.94257,                0.42015,                0.22907,                0.89037,               0.002872,               0.002872,               0.002872
                     75,                 0.5502,                0.39997,                 1.0782,                 0.9902,                0.98614,                0.99268,                0.94262,                0.41866,                0.22778,                0.88927,               0.002773,               0.002773,               0.002773
                     76,                0.54525,                0.39489,                 1.0745,                0.99028,                0.98619,                 0.9927,                0.94332,                0.41711,                0.22616,                0.88801,               0.002674,               0.002674,               0.002674
                     77,                0.54305,                0.39336,                 1.0754,                0.99085,                0.98574,                0.99276,                0.94392,                0.41513,                0.22349,                0.88632,               0.002575,               0.002575,               0.002575
                     78,                0.53806,                0.38936,                 1.0704,                0.99063,                0.98611,                0.99283,                0.94437,                0.41345,                 0.2233,                0.88484,               0.002476,               0.002476,               0.002476
                     79,                0.53385,                0.38406,                 1.0669,                 0.9911,                0.98598,                0.99297,                0.94545,                0.41109,                0.22199,                0.88274,               0.002377,               0.002377,               0.002377
                     80,                    inf,                0.38169,                 1.0659,                0.99109,                0.98647,                0.99296,                0.94558,                0.40865,                0.22157,                0.88062,               0.002278,               0.002278,               0.002278
                     81,                0.52721,                0.37671,                 1.0621,                0.99196,                0.98581,                0.99294,                0.94623,                0.40676,                0.22107,                0.87844,               0.002179,               0.002179,               0.002179
                     82,                0.52441,                  0.375,                 1.0632,                0.99226,                0.98588,                0.99291,                0.94665,                0.40482,                0.21989,                0.87666,                0.00208,                0.00208,                0.00208
                     83,                 0.5179,                0.36896,                 1.0586,                0.99192,                 0.9866,                0.99295,                0.94758,                0.40239,                0.21884,                0.87415,               0.001981,               0.001981,               0.001981
                     84,                0.51637,                0.36627,                 1.0557,                0.99203,                0.98691,                0.99298,                0.94815,                0.39941,                0.21874,                0.87116,               0.001882,               0.001882,               0.001882
                     85,                0.51121,                0.36178,                 1.0525,                0.99206,                0.98714,                0.99306,                0.94885,                0.39723,                0.21762,                0.86923,               0.001783,               0.001783,               0.001783
                     86,                0.50574,                0.35773,                 1.0504,                0.99215,                0.98719,                0.99311,                0.94942,                0.39511,                0.21656,                 0.8678,               0.001684,               0.001684,               0.001684
                     87,                0.49992,                0.35307,                 1.0468,                0.99179,                0.98803,                0.99321,                0.95041,                0.39255,                 0.2149,                 0.8659,               0.001585,               0.001585,               0.001585
                     88,                0.49591,                0.35045,                 1.0458,                  0.992,                0.98806,                0.99317,                0.95095,                0.39019,                0.21404,                0.86417,               0.001486,               0.001486,               0.001486
                     89,                0.49136,                0.34438,                 1.0426,                0.99247,                0.98749,                0.99317,                 0.9514,                  0.388,                0.21207,                0.86266,               0.001387,               0.001387,               0.001387
