                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.50575,                0.35958,                 1.0274,                0.99197,                0.99166,                 0.9942,                0.94823,                0.39612,                0.22093,                0.85746,               0.002872,               0.002872,               0.002872
                     75,                0.50276,                0.35659,                 1.0265,                0.99219,                0.99198,                0.99427,                0.94873,                0.39385,                0.22051,                0.85554,               0.002773,               0.002773,               0.002773
                     76,                0.49906,                0.35266,                 1.0243,                0.99266,                0.99162,                0.99423,                0.94956,                0.39211,                0.21986,                0.85384,               0.002674,               0.002674,               0.002674
                     77,                0.49648,                0.35161,                 1.0219,                0.99256,                 0.9918,                0.99427,                0.94997,                0.39059,                0.21887,                0.85243,               0.002575,               0.002575,               0.002575
                     78,                0.49127,                0.34854,                 1.0192,                0.99263,                  0.992,                0.99428,                0.95049,                 0.3886,                 0.2178,                 0.8504,               0.002476,               0.002476,               0.002476
                     79,                0.48906,                0.34687,                 1.0182,                0.99325,                0.99202,                0.99418,                0.95066,                0.38675,                0.21643,                0.84895,               0.002377,               0.002377,               0.002377
                     80,                0.48626,                0.34289,                 1.0169,                0.99344,                0.99206,                0.99423,                0.95077,                0.38511,                0.21503,                0.84776,               0.002278,               0.002278,               0.002278
                     81,                0.48089,                 0.3387,                 1.0144,                0.99355,                0.99219,                 0.9943,                0.95157,                0.38366,                0.21441,                0.84677,               0.002179,               0.002179,               0.002179
                     82,                0.47634,                0.33451,                 1.0113,                0.99372,                0.99262,                0.99435,                 0.9521,                0.38201,                0.21372,                0.84587,                0.00208,                0.00208,                0.00208
                     83,                0.47124,                0.33198,                 1.0096,                0.99356,                0.99251,                0.99438,                0.95254,                0.38065,                 0.2131,                0.84514,               0.001981,               0.001981,               0.001981
                     84,                0.46905,                0.32861,                 1.0076,                0.99349,                0.99262,                 0.9944,                0.95299,                0.37903,                0.21228,                0.84359,               0.001882,               0.001882,               0.001882
                     85,                0.46489,                0.32648,                 1.0064,                0.99327,                0.99242,                 0.9944,                0.95305,                0.37694,                0.21119,                0.84201,               0.001783,               0.001783,               0.001783
                     86,                 0.4609,                0.32288,                 1.0028,                0.99324,                0.99248,                0.99443,                0.95383,                0.37492,                0.21042,                0.84039,               0.001684,               0.001684,               0.001684
                     87,                0.45463,                0.31872,                 1.0006,                 0.9935,                0.99253,                0.99448,                0.95468,                 0.3728,                0.20966,                0.83868,               0.001585,               0.001585,               0.001585
                     88,                0.45172,                0.31456,                0.99797,                0.99341,                0.99272,                0.99437,                0.95525,                0.37112,                0.20864,                0.83758,               0.001486,               0.001486,               0.001486
                     89,                0.44652,                0.31251,                 0.9971,                0.99434,                0.99241,                0.99445,                0.95608,                0.36962,                0.20792,                 0.8367,               0.001387,               0.001387,               0.001387
                     90,                0.44206,                0.30824,                0.99422,                0.99491,                0.99255,                0.99449,                0.95646,                0.36764,                0.20716,                0.83529,               0.001288,               0.001288,               0.001288
                     91,                0.38222,                0.22549,                0.95657,                0.99501,                0.99269,                0.99453,                0.95734,                0.36393,                0.20539,                0.83228,               0.001189,               0.001189,               0.001189
                     92,                0.36925,                0.21635,                 0.9467,                0.99493,                0.99322,                0.99459,                0.95875,                0.35959,                0.20355,                0.82875,                0.00109,                0.00109,                0.00109
                     93,                0.35808,                0.20992,                0.93971,                0.99515,                0.99356,                 0.9946,                0.96003,                0.35497,                0.20102,                0.82472,               0.000991,               0.000991,               0.000991
                     94,                0.34847,                0.20369,                0.93436,                0.99535,                0.99396,                0.99463,                0.96087,                0.35051,                0.19918,                0.82089,               0.000892,               0.000892,               0.000892
                     95,                0.34038,                  0.199,                 0.9295,                0.99581,                0.99371,                0.99464,                 0.9623,                0.34631,                0.19736,                 0.8175,               0.000793,               0.000793,               0.000793
                     96,                0.33113,                0.19331,                0.92402,                 0.9961,                0.99386,                0.99469,                0.96352,                0.34221,                0.19569,                0.81432,               0.000694,               0.000694,               0.000694
                     97,                0.32297,                0.18882,                0.91876,                  0.996,                0.99415,                0.99471,                0.96459,                0.33845,                0.19409,                0.81153,               0.000595,               0.000595,               0.000595
                     98,                 0.3142,                0.18401,                0.91299,                0.99624,                0.99424,                0.99473,                0.96555,                0.33476,                0.19217,                 0.8086,               0.000496,               0.000496,               0.000496
                     99,                0.30671,                0.17937,                0.90911,                0.99616,                0.99449,                0.99474,                0.96634,                0.33149,                0.19042,                0.80629,               0.000397,               0.000397,               0.000397
                    100,                 0.2998,                 0.1756,                0.90594,                0.99593,                0.99445,                0.99475,                0.96696,                0.32844,                0.18978,                0.80419,               0.000298,               0.000298,               0.000298
