               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.024338,            0.012724,           0.0028333,             0.97958,              0.9752,             0.98903,             0.85064,            0.014266,           0.0037467,          9.8708e-05,            0.004951,            0.004951,            0.004951
                  53,            0.024057,            0.012592,           0.0025639,             0.98096,             0.97396,             0.98881,             0.85145,             0.01421,           0.0037409,          9.6771e-05,            0.004852,            0.004852,            0.004852
                  54,            0.024084,            0.012593,           0.0026705,             0.98089,             0.97492,             0.98887,             0.85267,             0.01417,            0.003736,          9.5499e-05,            0.004753,            0.004753,            0.004753
                  55,            0.023847,            0.012535,           0.0025845,             0.97964,             0.97573,             0.98887,             0.85268,             0.01411,           0.0037248,          9.3461e-05,            0.004654,            0.004654,            0.004654
                  56,            0.023745,            0.012496,            0.002445,             0.98003,              0.9756,             0.98894,             0.85321,            0.014049,           0.0037176,          9.0591e-05,            0.004555,            0.004555,            0.004555
                  57,            0.023737,            0.012431,           0.0024181,             0.97965,             0.97653,             0.98916,             0.85445,            0.014009,           0.0037112,          8.8634e-05,            0.004456,            0.004456,            0.004456
                  58,            0.023635,            0.012384,           0.0024915,             0.98023,             0.97661,             0.98922,             0.85613,            0.013957,           0.0037018,          8.6498e-05,            0.004357,            0.004357,            0.004357
                  59,            0.023504,            0.012325,           0.0024224,             0.97844,             0.97836,             0.98938,             0.85764,            0.013905,           0.0036922,          8.5254e-05,            0.004258,            0.004258,            0.004258
                  60,            0.023269,            0.012221,           0.0022867,             0.97841,             0.97787,              0.9896,             0.85826,            0.013843,           0.0036816,          8.3879e-05,            0.004159,            0.004159,            0.004159
                  61,            0.023236,            0.012257,           0.0022723,             0.98081,              0.9767,             0.98969,             0.85879,            0.013782,           0.0036684,          8.1705e-05,             0.00406,             0.00406,             0.00406
                  62,            0.023101,            0.012182,           0.0023142,             0.98069,             0.97704,             0.98973,             0.85938,            0.013689,           0.0036599,          7.9583e-05,            0.003961,            0.003961,            0.003961
                  63,            0.022939,            0.012155,           0.0022637,             0.98005,             0.97842,             0.98983,             0.86096,            0.013607,           0.0036492,           7.746e-05,            0.003862,            0.003862,            0.003862
                  64,            0.022803,            0.012065,           0.0022675,             0.98176,             0.97814,             0.99006,             0.86226,             0.01353,           0.0036341,          7.5179e-05,            0.003763,            0.003763,            0.003763
                  65,            0.022905,            0.012067,           0.0022016,              0.9823,             0.97809,             0.99019,             0.86365,            0.013481,           0.0036275,          7.3242e-05,            0.003664,            0.003664,            0.003664
                  66,            0.022632,            0.011928,           0.0022648,             0.98251,             0.97796,             0.99027,             0.86492,            0.013451,           0.0036234,          7.0887e-05,            0.003565,            0.003565,            0.003565
                  67,             0.02255,            0.011887,           0.0020824,             0.98306,             0.97843,             0.99034,             0.86602,            0.013404,           0.0036147,          6.9284e-05,            0.003466,            0.003466,            0.003466
                  68,            0.022379,            0.011845,           0.0020618,             0.98456,             0.97782,              0.9905,             0.86689,            0.013357,           0.0036067,          6.8274e-05,            0.003367,            0.003367,            0.003367
                  69,            0.022123,            0.011774,           0.0019496,             0.98332,             0.98043,             0.99059,             0.86716,            0.013317,           0.0035975,          6.7007e-05,            0.003268,            0.003268,            0.003268
                  70,            0.022147,            0.011804,           0.0020857,             0.98413,             0.98027,             0.99067,             0.86885,            0.013266,           0.0035842,          6.5409e-05,            0.003169,            0.003169,            0.003169
                  71,            0.022143,            0.011694,           0.0019656,             0.98333,             0.98062,             0.99061,             0.86987,            0.013238,           0.0035782,           6.393e-05,             0.00307,             0.00307,             0.00307
                  72,            0.021913,            0.011581,            0.001912,             0.98419,             0.98084,             0.99072,             0.87087,            0.013202,           0.0035714,          6.2452e-05,            0.002971,            0.002971,            0.002971
                  73,            0.021721,            0.011549,           0.0018505,             0.98407,             0.98077,             0.99076,             0.87192,            0.013134,           0.0035655,          6.0974e-05,            0.002872,            0.002872,            0.002872
                  74,            0.021614,            0.011457,           0.0018758,             0.98462,             0.98018,             0.99086,             0.87294,            0.013072,            0.003562,          5.8963e-05,            0.002773,            0.002773,            0.002773
                  75,            0.021312,            0.011403,           0.0017998,              0.9847,             0.98092,             0.99095,             0.87408,            0.013022,           0.0035523,           5.814e-05,            0.002674,            0.002674,            0.002674
                  76,             0.02124,            0.011323,           0.0017405,              0.9852,             0.98064,             0.99097,             0.87536,            0.012947,           0.0035377,          5.6231e-05,            0.002575,            0.002575,            0.002575
                  77,             0.02114,            0.011266,             0.00166,             0.98494,             0.98176,             0.99116,             0.87753,            0.012858,           0.0035292,          5.4582e-05,            0.002476,            0.002476,            0.002476
                  78,            0.021038,            0.011182,           0.0017302,             0.98582,             0.98177,             0.99128,             0.87824,            0.012809,           0.0035182,          5.3318e-05,            0.002377,            0.002377,            0.002377
                  79,            0.020871,            0.011184,           0.0016426,             0.98654,             0.98062,              0.9913,             0.87933,            0.012762,           0.0035053,          5.2352e-05,            0.002278,            0.002278,            0.002278
                  80,            0.020595,            0.011115,           0.0016515,             0.98776,             0.98084,              0.9914,             0.88058,            0.012714,           0.0034988,          5.1095e-05,            0.002179,            0.002179,            0.002179
                  81,            0.020409,            0.011012,            0.001561,             0.98829,             0.98107,             0.99145,              0.8813,            0.012661,           0.0034867,          4.9152e-05,             0.00208,             0.00208,             0.00208
                  82,            0.020342,             0.01095,           0.0014758,             0.98743,             0.98226,              0.9915,             0.88282,            0.012583,           0.0034754,           4.819e-05,            0.001981,            0.001981,            0.001981
                  83,            0.020131,            0.010871,             0.00154,             0.98772,             0.98308,             0.99156,             0.88475,            0.012501,           0.0034641,          4.7649e-05,            0.001882,            0.001882,            0.001882
                  84,            0.019919,             0.01074,           0.0014054,             0.98814,             0.98355,             0.99171,             0.88565,            0.012439,           0.0034592,          4.6904e-05,            0.001783,            0.001783,            0.001783
                  85,            0.019846,            0.010671,           0.0013987,             0.98765,              0.9836,             0.99179,             0.88691,            0.012385,           0.0034447,          4.5683e-05,            0.001684,            0.001684,            0.001684
                  86,             0.01958,            0.010603,           0.0013993,             0.98765,             0.98432,               0.992,             0.88866,            0.012319,           0.0034332,          4.4303e-05,            0.001585,            0.001585,            0.001585
                  87,            0.019412,            0.010495,           0.0012849,               0.989,             0.98371,             0.99209,             0.89004,            0.012255,           0.0034205,          4.2808e-05,            0.001486,            0.001486,            0.001486
                  88,            0.019191,            0.010421,           0.0013024,             0.98812,             0.98366,             0.99203,             0.89118,            0.012216,           0.0034105,          4.0968e-05,            0.001387,            0.001387,            0.001387
                  89,            0.018965,            0.010367,           0.0012492,             0.98765,             0.98465,             0.99204,             0.89319,            0.012164,           0.0033995,          3.9584e-05,            0.001288,            0.001288,            0.001288
                  90,            0.018807,            0.010249,           0.0012164,              0.9875,             0.98516,             0.99211,             0.89417,            0.012101,           0.0033847,          3.8095e-05,            0.001189,            0.001189,            0.001189
                  91,            0.018679,            0.010152,           0.0011401,             0.98733,             0.98589,             0.99224,             0.89469,            0.012027,           0.0033674,          3.6633e-05,             0.00109,             0.00109,             0.00109
                  92,            0.018345,            0.010076,           0.0011256,             0.98819,             0.98545,             0.99237,             0.89605,             0.01196,           0.0033481,          3.4847e-05,            0.000991,            0.000991,            0.000991
                  93,            0.018111,           0.0099809,           0.0010232,             0.98889,             0.98589,             0.99241,              0.8973,            0.011903,            0.003333,           3.251e-05,            0.000892,            0.000892,            0.000892
                  94,            0.017878,           0.0098932,           0.0010136,             0.98892,             0.98596,              0.9925,             0.89892,            0.011843,           0.0033159,          3.0389e-05,            0.000793,            0.000793,            0.000793
                  95,            0.017784,           0.0098331,          0.00095825,             0.98841,             0.98616,             0.99252,                 0.9,            0.011796,           0.0033006,          2.8265e-05,            0.000694,            0.000694,            0.000694
                  96,            0.017378,           0.0096826,           0.0009082,             0.98851,             0.98629,             0.99259,             0.90042,            0.011744,            0.003287,          2.6217e-05,            0.000595,            0.000595,            0.000595
                  97,            0.017226,           0.0096014,          0.00087343,              0.9884,             0.98642,             0.99267,              0.9012,            0.011694,           0.0032746,          2.4236e-05,            0.000496,            0.000496,            0.000496
                  98,            0.016963,           0.0094318,          0.00087405,             0.98828,             0.98692,             0.99275,             0.90206,            0.011644,           0.0032606,          2.2096e-05,            0.000397,            0.000397,            0.000397
                  99,            0.016796,           0.0094323,           0.0008044,             0.98824,             0.98716,             0.99279,             0.90362,            0.011591,           0.0032482,          1.9576e-05,            0.000298,            0.000298,            0.000298
